list-il-m,4,1,1,12,293782,24481
list-il-s,4,1,1,12,288891,24074
list-dl-none,4,1,1,12,288611,24050
list-dl-m,4,1,1,12,300307,25025
list-dl-s,4,1,1,12,305894,25491
list-i-none,4,2,1,24,285673,11903
list-i-m,4,2,1,24,321259,13385
list-i-s,4,2,1,24,326881,13620
list-d-m,4,2,1,24,337470,14061
list-d-s,4,2,1,24,331128,13797
list-il-none,4,2,1,24,313556,13064
list-il-m,4,2,1,24,320646,13360
list-il-s,4,2,1,24,315606,13150
list-dl-none,4,2,1,24,315776,13157
list-dl-m,4,2,1,24,332078,13836
list-dl-s,4,2,1,24,299138,12464
list-i-none,4,4,1,48,318373,6632
list-i-m,4,4,1,48,344408,7175
list-i-s,4,4,1,48,318967,6645
list-d-none,4,4,1,48,284066,5918
list-d-m,4,4,1,48,334294,6964
list-d-s,4,4,1,48,306868,6393
list-il-m,4,4,1,48,324148,6753
list-il-s,4,4,1,48,302429,6300
list-dl-none,4,4,1,48,320329,6673
list-dl-m,4,4,1,48,303518,6323
list-dl-s,4,4,1,48,294876,6143
list-i-m,4,8,1,96,299311,3117
list-i-s,4,8,1,96,289247,3012
list-d-none,4,8,1,96,338024,3521
list-d-m,4,8,1,96,304912,3176
list-d-s,4,8,1,96,323413,3368
list-il-m,4,8,1,96,424445,4421
list-il-s,4,8,1,96,326449,3400
list-dl-none,4,8,1,96,430052,4479
list-dl-m,4,8,1,96,346246,3606
list-dl-s,4,8,1,96,408516,4255
list-i-m,4,16,1,192,484322,2522
list-i-s,4,16,1,192,294484,1533
list-d-none,4,16,1,192,291457,1518
list-d-m,4,16,1,192,323976,1687
list-d-s,4,16,1,192,283451,1476
list-il-m,4,16,1,192,846546,4409
list-il-s,4,16,1,192,852837,4441
list-dl-m,4,16,1,192,708723,3691
list-dl-s,4,16,1,192,1123040,5849
list-i-m,4,32,1,384,670577,1746
list-i-s,4,32,1,384,578348,1506
list-d-none,4,32,1,384,393388,1024
list-d-m,4,32,1,384,428791,1116
list-d-s,4,32,1,384,576471,1501
list-il-m,4,32,1,384,3434290,8943
list-il-s,4,32,1,384,2070040,5390
list-dl-m,4,32,1,384,1993117,5190
list-dl-s,4,32,1,384,3952532,10293
list-i-none,8,1,1,24,459942,19164
list-i-m,8,1,1,24,404293,16845
list-i-s,8,1,1,24,506199,21091
list-d-none,8,1,1,24,487488,20312
list-d-m,8,1,1,24,448557,18689
list-d-s,8,1,1,24,382409,15933
list-il-m,8,1,1,24,413870,17244
list-il-s,8,1,1,24,400509,16687
list-dl-none,8,1,1,24,398352,16598
list-dl-m,8,1,1,24,431952,17998
list-dl-s,8,1,1,24,433782,18074
list-i-none,8,2,1,48,377213,7858
list-i-m,8,2,1,48,380457,7926
list-i-s,8,2,1,48,405147,8440
list-d-m,8,2,1,48,461305,9610
list-d-s,8,2,1,48,1143731,23827
list-il-m,8,2,1,48,444509,9260
list-il-s,8,2,1,48,1226276,25547
list-dl-none,8,2,1,48,444406,9258
list-dl-m,8,2,1,48,1172608,24429
list-dl-s,8,2,1,48,441932,9206
list-i-none,8,4,1,96,506181,5272
list-i-m,8,4,1,96,1474394,15358
list-i-s,8,4,1,96,413888,4311
list-d-none,8,4,1,96,436214,4543
list-d-m,8,4,1,96,484490,5046
list-d-s,8,4,1,96,471064,4906
list-il-none,8,4,1,96,1202635,12527
list-il-m,8,4,1,96,448671,4673
list-il-s,8,4,1,96,458931,4780
list-dl-m,8,4,1,96,482208,5023
list-dl-s,8,4,1,96,522699,5444
list-i-m,8,8,1,192,462809,2410
list-i-s,8,8,1,192,451163,2349
list-d-m,8,8,1,192,410963,2140
list-d-s,8,8,1,192,435403,2267
list-il-m,8,8,1,192,982283,5116
list-il-s,8,8,1,192,586455,3054
list-dl-m,8,8,1,192,694719,3618
list-dl-s,8,8,1,192,710356,3699
list-i-m,8,16,1,384,728603,1897
list-i-s,8,16,1,384,857255,2232
list-d-m,8,16,1,384,632321,1646
list-d-s,8,16,1,384,480605,1251
list-il-m,8,16,1,384,2968714,7731
list-il-s,8,16,1,384,1835514,4779
list-dl-none,8,16,1,384,676299,1761
list-dl-m,8,16,1,384,1743249,4539
list-dl-s,8,16,1,384,2328427,6063
list-i-m,8,32,1,768,1257949,1637
list-i-s,8,32,1,768,1332399,1734
list-d-m,8,32,1,768,1202444,1565
list-d-s,8,32,1,768,1286228,1674
list-il-m,8,32,1,768,9395646,12233
list-il-s,8,32,1,768,13048983,16990
list-dl-none,8,32,1,768,1571370,2046
list-dl-m,8,32,1,768,4549417,5923
list-dl-s,8,32,1,768,13803864,17973
list-i-none,12,1,1,36,1255043,34862
list-i-m,12,1,1,36,1233755,34270
list-i-s,12,1,1,36,1267622,35211
list-d-none,12,1,1,36,579212,16089
list-d-m,12,1,1,36,1179550,32765
list-d-s,12,1,1,36,620132,17225
list-il-none,12,1,1,36,1170494,32513
list-il-m,12,1,1,36,1328131,36892
list-il-s,12,1,1,36,1210851,33634
list-dl-none,12,1,1,36,1127986,31332
list-dl-m,12,1,1,36,1146459,31846
list-dl-s,12,1,1,36,500669,13907
list-i-m,12,2,1,72,635847,8831
list-i-s,12,2,1,72,469638,6522
list-d-none,12,2,1,72,526166,7307
list-d-m,12,2,1,72,447524,6215
list-d-s,12,2,1,72,488204,6780
list-il-none,12,2,1,72,460358,6393
list-il-m,12,2,1,72,461900,6415
list-il-s,12,2,1,72,437212,6072
list-dl-none,12,2,1,72,468029,6500
list-dl-m,12,2,1,72,612775,8510
list-dl-s,12,2,1,72,849769,11802
list-i-m,12,4,1,144,592202,4112
list-i-s,12,4,1,144,549204,3813
list-d-m,12,4,1,144,616233,4279
list-d-s,12,4,1,144,525987,3652
list-il-m,12,4,1,144,600183,4167
list-il-s,12,4,1,144,561811,3901
list-dl-m,12,4,1,144,559054,3882
list-dl-s,12,4,1,144,513070,3562
list-i-none,12,8,1,288,599711,2082
list-i-m,12,8,1,288,539129,1871
list-i-s,12,8,1,288,595231,2066
list-d-m,12,8,1,288,654818,2273
list-d-s,12,8,1,288,569970,1979
list-il-m,12,8,1,288,1783247,6191
list-il-s,12,8,1,288,805454,2796
